"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW2";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"EC11E18244AU";;;
2;"R2,R4,R3";"R_0603_1608Metric";3;"10k";;;
3;"Q2";"SOT-23";1;"BSS138";;;
4;"J1";"FPC-SMD_5034801200";1;"Conn_01x12_MountingPin";;;
5;"C1";"C_0603_1608Metric";1;"4u7";;;
6;"U1";"SOT-23";1;"APX803S-31SA-7";;;
7;"R1";"R_0603_1608Metric";1;"10R";;;
8;"C2";"C_0603_1608Metric";1;"100n";;;
9;"J2";"IDC-Header_2x06_P2.54mm_Vertical";1;"IDC";;;
